# JFFS2 Statistics
# ================
# A call to jffs2_readpage can be triggered by a vfs_read with a page cache miss, but also a 
# call to jffs2_write_begin (coming from a vfs_write) on a page wich is not up to date. 
# type ; process time ; e_mem ; e_cpu
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;9.88131e-324
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;4.6684e-313;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_garbage_collect_pass;1372;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;9.88131e-324
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;4.6684e-313;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_garbage_collect_pass;1372;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_garbage_collect_pass;1372;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;9.88131e-324
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;4.6684e-313;9.88131e-324
jffs2_write_end;853;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_garbage_collect_pass;1372;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;9.88131e-324
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;4.88059e-313;9.88131e-324
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_garbage_collect_pass;183;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;9.88131e-324
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;4.88059e-313;9.88131e-324
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_garbage_collect_pass;1372;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;9.88131e-324
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;4.88059e-313;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_garbage_collect_pass;183;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_garbage_collect_pass;0;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;9.88131e-324
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;4.88059e-313;9.88131e-324
jffs2_write_end;853;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_garbage_collect_pass;12243.9;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;9.88131e-324
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.09279e-313;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_garbage_collect_pass;1372;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;9.88131e-324
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.09279e-313;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_garbage_collect_pass;1372;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;9.88131e-324
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.09279e-313;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_garbage_collect_pass;1372;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;9.88131e-324
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.09279e-313;9.88131e-324
jffs2_write_end;853;6.95313e-310;6.95313e-310
jffs2_garbage_collect_pass;1372;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_garbage_collect_pass;777.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;9.88131e-324
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.30499e-313;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_garbage_collect_pass;183;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;9.88131e-324
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.30499e-313;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_garbage_collect_pass;1372;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;9.88131e-324
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.30499e-313;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_garbage_collect_pass;1372;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;9.88131e-324
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.30499e-313;9.88131e-324
jffs2_write_end;853;6.95313e-310;6.95313e-310
jffs2_garbage_collect_pass;1372;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;9.88131e-324
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;2.12205e-314;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_garbage_collect_pass;777.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;1.4822e-323
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;0;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
jffs2_garbage_collect_pass;1372;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;5.51719e-313;9.88131e-324
jffs2_write_end;30;6.95313e-310;6.95313e-310
jffs2_write_begin;5.7;2.12205e-314;9.88131e-324
jffs2_write_end;441.5;6.95313e-310;6.95313e-310
